date_month,localizacao
2024-01-31,"SÃO JERÔNIMO, RIO GRANDE DO SUL"
2024-01-31,"SÃO LEOPOLDO, RIO GRANDE DO SUL"
2024-02-06,"ITAQUI, RIO GRANDE DO SUL"
2024-02-06,"AMARAL FERRADOR, RIO GRANDE DO SUL"
2024-02-06,"HULHA NEGRA, RIO GRANDE DO SUL"
2024-02-06,"CAÇAPAVA DO SUL, RIO GRANDE DO SUL"
2024-02-06,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-07,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-07,"SÃO BORJA, RIO GRANDE DO SUL"
2024-02-07,"ALEGRETE, RIO GRANDE DO SUL"
2024-02-07,"GRAVATAÍ, RIO GRANDE DO SUL"
2024-02-08,"URUGUAIANA, RIO GRANDE DO SUL"
2024-02-08,"JÓIA, RIO GRANDE DO SUL"
2024-02-08,"MAÇAMBARÁ, RIO GRANDE DO SUL"
2024-02-11,"ITAQUI, RIO GRANDE DO SUL"
2024-02-15,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-15,"PEDRAS ALTAS, RIO GRANDE DO SUL"
2024-02-20,"RESTINGA SÊCA, RIO GRANDE DO SUL"
2024-02-21,"LAVRAS DO SUL, RIO GRANDE DO SUL"
2024-02-21,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-29,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-01,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-02,"HERVAL, RIO GRANDE DO SUL"
2024-03-02,"ALEGRETE, RIO GRANDE DO SUL"
2024-03-02,"DOM FELICIANO, RIO GRANDE DO SUL"
2024-03-02,"SANT'ANA DO LIVRAMENTO, RIO GRANDE DO SUL"
2024-03-05,"BUTIÁ, RIO GRANDE DO SUL"
2024-03-05,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-03-05,"CANGUÇU, RIO GRANDE DO SUL"
2024-03-05,"CACHOEIRA DO SUL, RIO GRANDE DO SUL"
2024-03-05,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-03-05,"BARÃO DO TRIUNFO, RIO GRANDE DO SUL"
2024-03-05,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-05,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-03-05,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-03-06,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-06,"MONTENEGRO, RIO GRANDE DO SUL"
2024-03-06,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-06,"CAPELA DE SANTANA, RIO GRANDE DO SUL"
2024-03-10,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-11,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-03-11,"SÃO BORJA, RIO GRANDE DO SUL"
2024-03-11,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-13,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-14,"PIRATINI, RIO GRANDE DO SUL"
2024-03-14,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-18,"PAVERAMA, RIO GRANDE DO SUL"
2024-03-20,"PIRATINI, RIO GRANDE DO SUL"
2024-03-20,"BARÃO DO TRIUNFO, RIO GRANDE DO SUL"
2024-03-20,"CERRO GRANDE DO SUL, RIO GRANDE DO SUL"
2024-03-21,"VIAMÃO, RIO GRANDE DO SUL"
2024-03-23,"PIRATINI, RIO GRANDE DO SUL"
2024-03-23,"NOVO HAMBURGO, RIO GRANDE DO SUL"
2024-03-23,"SALTO DO JACUÍ, RIO GRANDE DO SUL"
2024-03-23,"SÃO LUIZ GONZAGA, RIO GRANDE DO SUL"
2024-03-30,"BUTIÁ, RIO GRANDE DO SUL"
2024-03-30,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-30,"BARÃO DO TRIUNFO, RIO GRANDE DO SUL"
2024-03-31,"CHARQUEADAS, RIO GRANDE DO SUL"
2024-03-31,"NOVO HAMBURGO, RIO GRANDE DO SUL"
2024-01-01,"NOVA SANTA RITA, RIO GRANDE DO SUL"
2024-01-01,"SÃO LUIZ GONZAGA, RIO GRANDE DO SUL"
2024-01-01,"DILERMANDO DE AGUIAR, RIO GRANDE DO SUL"
2024-01-01,"PIRATINI, RIO GRANDE DO SUL"
2024-01-01,"ESTEIO, RIO GRANDE DO SUL"
2024-01-04,"JAGUARÃO, RIO GRANDE DO SUL"
2024-01-05,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
